Kategori,Karakteristik,Persentase_Depresi
Kelompok Umur,15-24,2.0
Kelompok Umur,25-34,1.3
Kelompok Umur,35-44,1.0
Kelompok Umur,45-54,1.1
Kelompok Umur,55-64,1.2
Kelompok Umur,65-74,1.6
Kelompok Umur,75+,1.9
Jenis Kelamin,Laki-laki,1.0
Jenis Kelamin,Perempuan,1.8
Pendidikan,Tidak/belum pernah sekolah,1.5
Pendidikan,Tidak tamat SD/MI,1.5
Pendidikan,Tamat SD/MI,1.5
Pendidikan,Tamat SLTP/MTs,1.5
Pendidikan,Tamat SLTA/MA,1.3
Pendidikan,Tamat D1/D2/D3/PT,0.7
Pekerjaan,Tidak bekerja,2.0
Pekerjaan,Sekolah,2.0
Pekerjaan,PNS/TNI/POLRI/BUMN/BUMD,0.3
Pekerjaan,Pegawai swasta,1.0
Pekerjaan,Wiraswasta,1.0
Pekerjaan,Petani/buruh tani,0.7
Pekerjaan,Nelayan,0.8
Pekerjaan,Buruh/sopir/pembantu ruta,1.6
Pekerjaan,Lainnya,1.1
Tempat tinggal,Perkotaan,1.7
Tempat tinggal,Perdesaan,0.9
Status ekonomi,Terbawah,1.6
Status ekonomi,Menengah bawah,1.3
Status ekonomi,Menengah,1.3
Status ekonomi,Menengah atas,1.4
Status ekonomi,Teratas,1.2